,tconst,averageRating,numVotes,weightedRating,primaryTitle,startYear,runtimeMinutes
70736,tt0072190,8.4,1654,7.086876266226458,The Golden Fortress,1974,120
57886,tt0058985,7.6,4232,7.086863711001643,Le Bonheur,1965,79
32369,tt0032943,7.4,6934,7.086854136656855,Pride and Prejudice,1940,118
338034,tt0352343,7.3,10187,7.086853099155937,Facing Windows,2003,106
2131264,tt1715802,8.3,1788,7.086770195609974,How to Die in Oregon,2011,107
2543687,tt2146960,8.3,1788,7.086770195609974,Vazhakku Enn 18/9,2012,124
289125,tt0301555,7.9,2667,7.086756786062818,God Grew Tired of Us,2006,89
76705,tt0078326,7.4,6916,7.086677528512345,Straight Time,1978,114
102912,tt0105185,7.7,3530,7.0866105853487555,Pigs,1992,104
228176,tt0237820,8.7,1342,7.086606939488269,Thaniyavartanam,1987,119
26078,tt0026529,7.5,5237,7.0865991996560505,The Informer,1935,91
1812884,tt1385956,7.4,6908,7.086598972044628,Particle Fever,2013,99
407426,tt0424024,7.5,5236,7.086585527186136,Darwin's Nightmare,2004,107
3614480,tt4360094,8.8,1263,7.0865628450672045,A Place in the Caribbean,2017,114
91970,tt0094012,7.1,160804,7.086544961357128,Spaceballs,1987,96
756613,tt0780180,7.5,5231,7.086517151268565,Grave Decisions,2006,104
4185485,tt5639354,7.2,19027,7.086433325005111,A Fantastic Woman,2017,104
114282,tt0116852,7.7,3520,7.086395511921459,Leily Is with Me,1996,95
2408231,tt2005151,7.1,158121,7.086347824662381,War Dogs,2016,114
202854,tt0211126,7.9,2650,7.08625678119349,Zakhm,1998,125
244659,tt0255067,7.3,10079,7.086196869922176,Common Wealth,2000,110
333569,tt0347779,8.0,2358,7.0861905110022665,Pinjar,2003,188
3781156,tt4733046,9.2,1019,7.086160113763019,The Weight of Chains 2,2014,124
2327275,tt1921149,7.2,18920,7.08615664845173,Trash,2014,114
1949281,tt1527186,7.1,155432,7.0861443646359845,Melancholia,2011,135
759864,tt0783532,7.3,10067,7.086123706048421,Gangster's Paradise: Jerusalema,2008,119
465374,tt0483578,7.8,3012,7.086020277024133,Love and Honor,2006,122
117473,tt0120188,7.1,153808,7.0860185226611785,Three Kings,1999,114
44345,tt0045125,7.5,5187,7.0859144664921985,Scaramouche,1952,115
17799,tt0018051,7.7,3497,7.085900270203881,The Kid Brother,1927,82
352222,tt0366943,7.4,6837,7.0859000533969905,Reconstruction,2003,92
2774586,tt2412748,9.2,1015,7.085835095137421,Saving Mes Aynak,2014,60
150549,tt0155124,8.5,1516,7.085759541408961,Rudra Veena,1988,170
185371,tt0192335,7.5,5173,7.0857223345375004,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",1999,91
1931459,tt1508675,7.2,18747,7.0857064484421795,Le Havre,2011,93
69946,tt0071381,7.6,4166,7.085702530343551,Celine and Julie Go Boating,1974,193
786382,tt0810819,7.1,149426,7.085667274374233,The Danish Girl,2015,119
5690882,tt8897986,9.5,887,7.085660756364199,Family of Thakurganj,2019,127
107224,tt0109592,7.2,18714,7.085620167452076,Cemetery Man,1994,105
94794,tt0096894,8.1,2110,7.085614164514939,"Bashu, the Little Stranger",1989,120
3415310,tt3917210,7.5,5165,7.08561246477706,"Life, Animated",2016,92
1526682,tt1097239,7.8,2995,7.085586711912842,Joy Division,2007,93
407537,tt0424136,7.1,147975,7.085547044370574,Hard Candy,2005,104
807086,tt0832266,7.1,147653,7.085520089427926,"Definitely, Maybe",2008,112
97913,tt0100095,7.3,9965,7.085499785499786,Maine Pyar Kiya,1989,192
23540,tt0023940,7.5,5156,7.085488791616926,Design for Living,1933,91
462609,tt0480732,8.5,1510,7.085439456808752,Shyamol Chhaya,2004,110
3167174,tt3347976,7.2,18637,7.0854183376492434,Dügün Dernek,2013,106
30793,tt0031334,7.5,5142,7.08529626434875,The Four Feathers,1939,129
139732,tt0143861,7.9,2617,7.085284426259188,Scratch,2001,92
278057,tt0289968,7.4,6767,7.085207920168728,Hababam Sinifi Dokuz Doguruyor,1978,88
4423834,tt6173990,7.3,9915,7.085192610625805,Gold,2018,151
114887,tt0117477,7.4,6757,7.085108794911358,Ridicule,1996,102
82792,tt0084597,7.7,3458,7.085058682971397,Richard Pryor: Live on the Sunset Strip,1982,82
2167806,tt1753887,7.4,6747,7.08500960720698,Come as You Are,2011,115
2143196,tt1728196,7.4,6745,7.084989762167271,Hara-Kiri: Death of a Samurai,2011,128
2267785,tt1859438,7.6,4123,7.084943172063317,A Little Thing Called Love,2010,118
2762886,tt2395417,7.4,6736,7.084900428535417,Still Life,2013,92
43218,tt0043972,7.5,5110,7.0848555297243445,The River,1951,99
